mh_value,mh_level,granularity,granularity_label,scope_id,dataset_name,detector_family,detector_label,status,error,summary_path
10,mh10,by_competitor,By competitor,COUNTRY_1/B2C/COMPETITOR_3_COUNTRY_1_2026-02-08,COMPETITOR_3_COUNTRY_1,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_competitor\COUNTRY_1_B2C_COMPETITOR_3_COUNTRY_1_2026-02-08\if\summary.json
10,mh10,by_competitor,By competitor,COUNTRY_2/B2B/COMPETITOR_1_COUNTRY_2_2026-02-08,COMPETITOR_1_COUNTRY_2,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_competitor\COUNTRY_2_B2B_COMPETITOR_1_COUNTRY_2_2026-02-08\if\summary.json
10,mh10,by_competitor,By competitor,COUNTRY_2/B2C/COMPETITOR_2_COUNTRY_2_2026-02-08,COMPETITOR_2_COUNTRY_2,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_competitor\COUNTRY_2_B2C_COMPETITOR_2_COUNTRY_2_2026-02-08\if\summary.json
10,mh10,by_competitor,By competitor,COUNTRY_2/B2C/COMPETITOR_3_COUNTRY_2_2026-02-08,COMPETITOR_3_COUNTRY_2,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_competitor\COUNTRY_2_B2C_COMPETITOR_3_COUNTRY_2_2026-02-08\if\summary.json
10,mh10,by_competitor,By competitor,COUNTRY_3/B2B/COMPETITOR_1_COUNTRY_3_2026-02-08,COMPETITOR_1_COUNTRY_3,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_competitor\COUNTRY_3_B2B_COMPETITOR_1_COUNTRY_3_2026-02-08\if\summary.json
10,mh10,by_competitor,By competitor,COUNTRY_3/B2C/COMPETITOR_2_COUNTRY_3_2026-02-08,COMPETITOR_2_COUNTRY_3,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_competitor\COUNTRY_3_B2C_COMPETITOR_2_COUNTRY_3_2026-02-08\if\summary.json
10,mh10,by_competitor,By competitor,COUNTRY_3/B2C/COMPETITOR_3_COUNTRY_3_2026-02-08,COMPETITOR_3_COUNTRY_3,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_competitor\COUNTRY_3_B2C_COMPETITOR_3_COUNTRY_3_2026-02-08\if\summary.json
10,mh10,by_competitor,By competitor,COUNTRY_4/B2B/COMPETITOR_1_COUNTRY_4_2026-02-08,COMPETITOR_1_COUNTRY_4,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_competitor\COUNTRY_4_B2B_COMPETITOR_1_COUNTRY_4_2026-02-08\if\summary.json
10,mh10,by_competitor,By competitor,COUNTRY_4/B2C/COMPETITOR_2_COUNTRY_4_2026-02-08,COMPETITOR_2_COUNTRY_4,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_competitor\COUNTRY_4_B2C_COMPETITOR_2_COUNTRY_4_2026-02-08\if\summary.json
10,mh10,by_competitor,By competitor,COUNTRY_4/B2C/COMPETITOR_3_COUNTRY_4_2026-02-08,COMPETITOR_3_COUNTRY_4,if,Isolation Forest,error,"Need at least 50 valid samples, got 20",C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_competitor\COUNTRY_4_B2C_COMPETITOR_3_COUNTRY_4_2026-02-08\if\summary.json
15,mh15,by_competitor,By competitor,COUNTRY_1/B2B/COMPETITOR_1_COUNTRY_1_2026-02-08,COMPETITOR_1_COUNTRY_1,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh15\by_competitor\COUNTRY_1_B2B_COMPETITOR_1_COUNTRY_1_2026-02-08\if\summary.json
15,mh15,by_competitor,By competitor,COUNTRY_1/B2C/COMPETITOR_2_COUNTRY_1_2026-02-08,COMPETITOR_2_COUNTRY_1,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh15\by_competitor\COUNTRY_1_B2C_COMPETITOR_2_COUNTRY_1_2026-02-08\if\summary.json
15,mh15,by_competitor,By competitor,COUNTRY_1/B2C/COMPETITOR_3_COUNTRY_1_2026-02-08,COMPETITOR_3_COUNTRY_1,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh15\by_competitor\COUNTRY_1_B2C_COMPETITOR_3_COUNTRY_1_2026-02-08\if\summary.json
15,mh15,by_competitor,By competitor,COUNTRY_2/B2B/COMPETITOR_1_COUNTRY_2_2026-02-08,COMPETITOR_1_COUNTRY_2,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh15\by_competitor\COUNTRY_2_B2B_COMPETITOR_1_COUNTRY_2_2026-02-08\if\summary.json
15,mh15,by_competitor,By competitor,COUNTRY_2/B2C/COMPETITOR_2_COUNTRY_2_2026-02-08,COMPETITOR_2_COUNTRY_2,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh15\by_competitor\COUNTRY_2_B2C_COMPETITOR_2_COUNTRY_2_2026-02-08\if\summary.json
15,mh15,by_competitor,By competitor,COUNTRY_2/B2C/COMPETITOR_3_COUNTRY_2_2026-02-08,COMPETITOR_3_COUNTRY_2,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh15\by_competitor\COUNTRY_2_B2C_COMPETITOR_3_COUNTRY_2_2026-02-08\if\summary.json
15,mh15,by_competitor,By competitor,COUNTRY_3/B2B/COMPETITOR_1_COUNTRY_3_2026-02-08,COMPETITOR_1_COUNTRY_3,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh15\by_competitor\COUNTRY_3_B2B_COMPETITOR_1_COUNTRY_3_2026-02-08\if\summary.json
15,mh15,by_competitor,By competitor,COUNTRY_3/B2C/COMPETITOR_2_COUNTRY_3_2026-02-08,COMPETITOR_2_COUNTRY_3,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh15\by_competitor\COUNTRY_3_B2C_COMPETITOR_2_COUNTRY_3_2026-02-08\if\summary.json
15,mh15,by_competitor,By competitor,COUNTRY_3/B2C/COMPETITOR_3_COUNTRY_3_2026-02-08,COMPETITOR_3_COUNTRY_3,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh15\by_competitor\COUNTRY_3_B2C_COMPETITOR_3_COUNTRY_3_2026-02-08\if\summary.json
15,mh15,by_competitor,By competitor,COUNTRY_4/B2B/COMPETITOR_1_COUNTRY_4_2026-02-08,COMPETITOR_1_COUNTRY_4,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh15\by_competitor\COUNTRY_4_B2B_COMPETITOR_1_COUNTRY_4_2026-02-08\if\summary.json
15,mh15,by_competitor,By competitor,COUNTRY_4/B2C/COMPETITOR_2_COUNTRY_4_2026-02-08,COMPETITOR_2_COUNTRY_4,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh15\by_competitor\COUNTRY_4_B2C_COMPETITOR_2_COUNTRY_4_2026-02-08\if\summary.json
15,mh15,by_competitor,By competitor,COUNTRY_4/B2C/COMPETITOR_3_COUNTRY_4_2026-02-08,COMPETITOR_3_COUNTRY_4,if,Isolation Forest,error,"Need at least 50 valid samples, got 0",C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh15\by_competitor\COUNTRY_4_B2C_COMPETITOR_3_COUNTRY_4_2026-02-08\if\summary.json
20,mh20,by_competitor,By competitor,COUNTRY_1/B2B/COMPETITOR_1_COUNTRY_1_2026-02-08,COMPETITOR_1_COUNTRY_1,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh20\by_competitor\COUNTRY_1_B2B_COMPETITOR_1_COUNTRY_1_2026-02-08\if\summary.json
20,mh20,by_competitor,By competitor,COUNTRY_1/B2C/COMPETITOR_2_COUNTRY_1_2026-02-08,COMPETITOR_2_COUNTRY_1,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh20\by_competitor\COUNTRY_1_B2C_COMPETITOR_2_COUNTRY_1_2026-02-08\if\summary.json
20,mh20,by_competitor,By competitor,COUNTRY_1/B2C/COMPETITOR_3_COUNTRY_1_2026-02-08,COMPETITOR_3_COUNTRY_1,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh20\by_competitor\COUNTRY_1_B2C_COMPETITOR_3_COUNTRY_1_2026-02-08\if\summary.json
20,mh20,by_competitor,By competitor,COUNTRY_2/B2B/COMPETITOR_1_COUNTRY_2_2026-02-08,COMPETITOR_1_COUNTRY_2,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh20\by_competitor\COUNTRY_2_B2B_COMPETITOR_1_COUNTRY_2_2026-02-08\if\summary.json
20,mh20,by_competitor,By competitor,COUNTRY_2/B2C/COMPETITOR_2_COUNTRY_2_2026-02-08,COMPETITOR_2_COUNTRY_2,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh20\by_competitor\COUNTRY_2_B2C_COMPETITOR_2_COUNTRY_2_2026-02-08\if\summary.json
20,mh20,by_competitor,By competitor,COUNTRY_2/B2C/COMPETITOR_3_COUNTRY_2_2026-02-08,COMPETITOR_3_COUNTRY_2,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh20\by_competitor\COUNTRY_2_B2C_COMPETITOR_3_COUNTRY_2_2026-02-08\if\summary.json
20,mh20,by_competitor,By competitor,COUNTRY_3/B2B/COMPETITOR_1_COUNTRY_3_2026-02-08,COMPETITOR_1_COUNTRY_3,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh20\by_competitor\COUNTRY_3_B2B_COMPETITOR_1_COUNTRY_3_2026-02-08\if\summary.json
20,mh20,by_competitor,By competitor,COUNTRY_3/B2C/COMPETITOR_2_COUNTRY_3_2026-02-08,COMPETITOR_2_COUNTRY_3,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh20\by_competitor\COUNTRY_3_B2C_COMPETITOR_2_COUNTRY_3_2026-02-08\if\summary.json
20,mh20,by_competitor,By competitor,COUNTRY_3/B2C/COMPETITOR_3_COUNTRY_3_2026-02-08,COMPETITOR_3_COUNTRY_3,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh20\by_competitor\COUNTRY_3_B2C_COMPETITOR_3_COUNTRY_3_2026-02-08\if\summary.json
20,mh20,by_competitor,By competitor,COUNTRY_4/B2B/COMPETITOR_1_COUNTRY_4_2026-02-08,COMPETITOR_1_COUNTRY_4,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh20\by_competitor\COUNTRY_4_B2B_COMPETITOR_1_COUNTRY_4_2026-02-08\if\summary.json
20,mh20,by_competitor,By competitor,COUNTRY_4/B2C/COMPETITOR_2_COUNTRY_4_2026-02-08,COMPETITOR_2_COUNTRY_4,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh20\by_competitor\COUNTRY_4_B2C_COMPETITOR_2_COUNTRY_4_2026-02-08\if\summary.json
20,mh20,by_competitor,By competitor,COUNTRY_4/B2C/COMPETITOR_3_COUNTRY_4_2026-02-08,COMPETITOR_3_COUNTRY_4,if,Isolation Forest,error,"Need at least 50 valid samples, got 0",C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh20\by_competitor\COUNTRY_4_B2C_COMPETITOR_3_COUNTRY_4_2026-02-08\if\summary.json
25,mh25,by_competitor,By competitor,COUNTRY_1/B2B/COMPETITOR_1_COUNTRY_1_2026-02-08,COMPETITOR_1_COUNTRY_1,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh25\by_competitor\COUNTRY_1_B2B_COMPETITOR_1_COUNTRY_1_2026-02-08\if\summary.json
25,mh25,by_competitor,By competitor,COUNTRY_1/B2C/COMPETITOR_2_COUNTRY_1_2026-02-08,COMPETITOR_2_COUNTRY_1,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh25\by_competitor\COUNTRY_1_B2C_COMPETITOR_2_COUNTRY_1_2026-02-08\if\summary.json
25,mh25,by_competitor,By competitor,COUNTRY_1/B2C/COMPETITOR_3_COUNTRY_1_2026-02-08,COMPETITOR_3_COUNTRY_1,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh25\by_competitor\COUNTRY_1_B2C_COMPETITOR_3_COUNTRY_1_2026-02-08\if\summary.json
25,mh25,by_competitor,By competitor,COUNTRY_2/B2B/COMPETITOR_1_COUNTRY_2_2026-02-08,COMPETITOR_1_COUNTRY_2,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh25\by_competitor\COUNTRY_2_B2B_COMPETITOR_1_COUNTRY_2_2026-02-08\if\summary.json
25,mh25,by_competitor,By competitor,COUNTRY_2/B2C/COMPETITOR_2_COUNTRY_2_2026-02-08,COMPETITOR_2_COUNTRY_2,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh25\by_competitor\COUNTRY_2_B2C_COMPETITOR_2_COUNTRY_2_2026-02-08\if\summary.json
25,mh25,by_competitor,By competitor,COUNTRY_2/B2C/COMPETITOR_3_COUNTRY_2_2026-02-08,COMPETITOR_3_COUNTRY_2,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh25\by_competitor\COUNTRY_2_B2C_COMPETITOR_3_COUNTRY_2_2026-02-08\if\summary.json
25,mh25,by_competitor,By competitor,COUNTRY_3/B2B/COMPETITOR_1_COUNTRY_3_2026-02-08,COMPETITOR_1_COUNTRY_3,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh25\by_competitor\COUNTRY_3_B2B_COMPETITOR_1_COUNTRY_3_2026-02-08\if\summary.json
25,mh25,by_competitor,By competitor,COUNTRY_3/B2C/COMPETITOR_2_COUNTRY_3_2026-02-08,COMPETITOR_2_COUNTRY_3,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh25\by_competitor\COUNTRY_3_B2C_COMPETITOR_2_COUNTRY_3_2026-02-08\if\summary.json
25,mh25,by_competitor,By competitor,COUNTRY_3/B2C/COMPETITOR_3_COUNTRY_3_2026-02-08,COMPETITOR_3_COUNTRY_3,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh25\by_competitor\COUNTRY_3_B2C_COMPETITOR_3_COUNTRY_3_2026-02-08\if\summary.json
25,mh25,by_competitor,By competitor,COUNTRY_4/B2B/COMPETITOR_1_COUNTRY_4_2026-02-08,COMPETITOR_1_COUNTRY_4,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh25\by_competitor\COUNTRY_4_B2B_COMPETITOR_1_COUNTRY_4_2026-02-08\if\summary.json
25,mh25,by_competitor,By competitor,COUNTRY_4/B2C/COMPETITOR_2_COUNTRY_4_2026-02-08,COMPETITOR_2_COUNTRY_4,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh25\by_competitor\COUNTRY_4_B2C_COMPETITOR_2_COUNTRY_4_2026-02-08\if\summary.json
25,mh25,by_competitor,By competitor,COUNTRY_4/B2C/COMPETITOR_3_COUNTRY_4_2026-02-08,COMPETITOR_3_COUNTRY_4,if,Isolation Forest,error,"Need at least 50 valid samples, got 0",C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh25\by_competitor\COUNTRY_4_B2C_COMPETITOR_3_COUNTRY_4_2026-02-08\if\summary.json
30,mh30,by_competitor,By competitor,COUNTRY_1/B2B/COMPETITOR_1_COUNTRY_1_2026-02-08,COMPETITOR_1_COUNTRY_1,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh30\by_competitor\COUNTRY_1_B2B_COMPETITOR_1_COUNTRY_1_2026-02-08\if\summary.json
30,mh30,by_competitor,By competitor,COUNTRY_1/B2C/COMPETITOR_2_COUNTRY_1_2026-02-08,COMPETITOR_2_COUNTRY_1,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh30\by_competitor\COUNTRY_1_B2C_COMPETITOR_2_COUNTRY_1_2026-02-08\if\summary.json
30,mh30,by_competitor,By competitor,COUNTRY_1/B2C/COMPETITOR_3_COUNTRY_1_2026-02-08,COMPETITOR_3_COUNTRY_1,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh30\by_competitor\COUNTRY_1_B2C_COMPETITOR_3_COUNTRY_1_2026-02-08\if\summary.json
30,mh30,by_competitor,By competitor,COUNTRY_2/B2B/COMPETITOR_1_COUNTRY_2_2026-02-08,COMPETITOR_1_COUNTRY_2,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh30\by_competitor\COUNTRY_2_B2B_COMPETITOR_1_COUNTRY_2_2026-02-08\if\summary.json
30,mh30,by_competitor,By competitor,COUNTRY_2/B2C/COMPETITOR_2_COUNTRY_2_2026-02-08,COMPETITOR_2_COUNTRY_2,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh30\by_competitor\COUNTRY_2_B2C_COMPETITOR_2_COUNTRY_2_2026-02-08\if\summary.json
30,mh30,by_competitor,By competitor,COUNTRY_2/B2C/COMPETITOR_3_COUNTRY_2_2026-02-08,COMPETITOR_3_COUNTRY_2,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh30\by_competitor\COUNTRY_2_B2C_COMPETITOR_3_COUNTRY_2_2026-02-08\if\summary.json
30,mh30,by_competitor,By competitor,COUNTRY_3/B2B/COMPETITOR_1_COUNTRY_3_2026-02-08,COMPETITOR_1_COUNTRY_3,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh30\by_competitor\COUNTRY_3_B2B_COMPETITOR_1_COUNTRY_3_2026-02-08\if\summary.json
30,mh30,by_competitor,By competitor,COUNTRY_3/B2C/COMPETITOR_2_COUNTRY_3_2026-02-08,COMPETITOR_2_COUNTRY_3,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh30\by_competitor\COUNTRY_3_B2C_COMPETITOR_2_COUNTRY_3_2026-02-08\if\summary.json
30,mh30,by_competitor,By competitor,COUNTRY_3/B2C/COMPETITOR_3_COUNTRY_3_2026-02-08,COMPETITOR_3_COUNTRY_3,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh30\by_competitor\COUNTRY_3_B2C_COMPETITOR_3_COUNTRY_3_2026-02-08\if\summary.json
30,mh30,by_competitor,By competitor,COUNTRY_4/B2B/COMPETITOR_1_COUNTRY_4_2026-02-08,COMPETITOR_1_COUNTRY_4,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh30\by_competitor\COUNTRY_4_B2B_COMPETITOR_1_COUNTRY_4_2026-02-08\if\summary.json
30,mh30,by_competitor,By competitor,COUNTRY_4/B2C/COMPETITOR_2_COUNTRY_4_2026-02-08,COMPETITOR_2_COUNTRY_4,if,Isolation Forest,ok,,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh30\by_competitor\COUNTRY_4_B2C_COMPETITOR_2_COUNTRY_4_2026-02-08\if\summary.json
30,mh30,by_competitor,By competitor,COUNTRY_4/B2C/COMPETITOR_3_COUNTRY_4_2026-02-08,COMPETITOR_3_COUNTRY_4,if,Isolation Forest,error,"Need at least 50 valid samples, got 0",C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh30\by_competitor\COUNTRY_4_B2C_COMPETITOR_3_COUNTRY_4_2026-02-08\if\summary.json
